A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,wales,theoldmillbridgend,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,wales,theoldmillbridgend,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,wales,theoldmillbridgend,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,wales,theoldmillbridgend,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesteraylesburyaylesbury,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,18.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,23.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,12.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,19.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,21.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
8OZ# RUMP STEAK,No Description,£,16.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestercrawleyleisureparkcrawley,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvestergravesendchalk,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterportsolentportsmouth,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,southeast,harvesterwhiteleyfareham,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,southeast,thebarnchichester,mainmenu#
